order_id,product_id,add_to_cart_order,reordered
3373162,47229,11,1
812794,28993,1,1
1229547,18531,1,1
1986228,36189,4,0
2157783,34854,18,0
1075175,6221,7,1
1500083,42582,4,0
215715,32573,4,1
2956417,46906,4,0
1373932,15902,12,0
500266,40659,6,0
1162372,41588,2,1
2982962,9084,2,1
1198433,3016,5,0
2255696,25513,6,1
3323129,34126,4,1
609243,5479,9,0
1337303,5616,7,0
830570,12481,4,0
3263391,39561,5,1
1501135,8412,4,1
913070,5516,4,0
2365068,35097,11,0
851082,19006,5,1
954206,39275,10,1
1378011,17794,13,0
3116788,27325,8,1
788243,45066,3,1
809435,11182,3,1
3382739,28221,2,1
355325,21626,15,0
1053355,21709,10,1
239146,2314,7,0
3080245,3988,1,1
386885,28553,10,0
1545596,48205,11,0
2085476,37637,6,1
3167542,33754,12,0
461963,6493,2,1
2024995,23622,11,0
1341323,27336,16,1
2478442,41527,25,1
1680248,30532,9,1
561015,14129,13,0
1870170,41319,22,0
2922266,7503,7,0
360755,17321,16,1
2018392,16168,6,0
2084385,14659,2,0
323915,46167,2,1
2231739,35628,10,0
1414658,39928,4,1
3320610,39275,4,1
1250135,39275,14,1
1795417,46059,2,1
1971003,43933,10,1
2585808,30391,2,1
1538490,25079,3,0
1066647,21903,5,0
2805884,47144,6,0
740488,27778,12,0
2449746,43352,25,0
2254914,41065,10,1
1920089,5818,2,1
1914478,13842,9,1
2201679,41950,8,1
2963483,8854,12,0
3211127,24852,3,1
1580614,42803,7,1
373666,24852,2,1
701278,16456,7,0
1262071,8730,8,0
2959588,21195,4,1
865516,28985,9,1
2897119,14862,10,0
2530278,343,2,0
637716,30391,17,1
1356417,47654,6,1
1123673,46802,4,1
2002482,5127,3,0
3169127,46979,2,1
2041250,8277,4,1
3224289,7539,15,1
3356165,6187,7,0
2075349,41534,6,1
2284610,25005,6,0
2589145,19213,9,1
570394,24852,2,1
976539,20383,3,1
2398639,46802,14,1
2514004,33000,1,0
1644899,38452,27,0
1275421,2238,14,0
2938296,42585,5,1
26394,18656,5,1
1202935,27510,10,1
3400805,29153,15,0
1945963,15950,13,1
2009954,42265,11,1
975590,40545,9,0
2754838,33000,31,1
951146,16823,3,0
1379236,11182,2,1
1977611,45123,1,0
828965,8930,7,1
948900,32915,24,0
2999734,27156,11,1
1113866,28289,6,1
2194125,26209,9,1
1146266,37993,20,0
2272393,17421,3,0
285388,17652,1,1
3117749,30442,6,1
2958473,21903,12,0
499639,30391,2,1
559105,29941,14,0
118716,38689,22,1
353933,34278,12,0
2854553,27729,9,0
743838,24850,23,0
3252954,4778,9,1
