order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
1524161,37,train,24,0,13,16
2733614,124,train,9,1,8,21
2742787,167,train,6,0,11,7
1162736,261,train,9,3,17,4
3072356,315,train,5,3,23,24
14172,382,train,30,4,17,10
3293782,466,train,32,5,16,14
3054234,587,train,13,6,8,13
2376860,674,train,5,1,12,4
143284,685,train,5,4,9,16
1181590,803,train,8,0,12,5
3353496,890,train,21,5,11,14
309741,915,train,10,4,15,19
3382300,1011,train,8,2,14,22
2799858,1056,train,17,3,11,22
1650233,1120,train,75,6,19,7
1489846,1157,train,16,0,17,13
580476,1188,train,11,6,17,20
1008360,1320,train,26,1,17,30
1344515,1334,train,15,0,18,30
277582,1570,train,13,0,11,3
1682034,1803,train,23,6,8,19
1956619,1823,train,6,0,19,30
3002092,1850,train,61,3,9,3
2218299,2111,train,17,6,12,21
3411016,2316,train,12,1,15,30
497814,2391,train,6,1,21,30
1893317,2407,train,9,4,10,30
2950266,2422,train,12,3,13,30
2774867,2423,train,18,3,6,2
677693,2466,train,15,0,23,9
825795,2489,train,31,5,16,2
577283,2604,train,98,0,19,4
2965253,2678,train,4,0,9,30
494327,2708,train,4,6,16,20
2399278,2732,train,9,0,8,14
920063,2800,train,21,6,14,11
2836995,2883,train,19,4,11,30
2769899,2926,train,74,0,13,2
668637,2942,train,5,6,13,30
1242203,2993,train,15,0,7,7
1680248,3027,train,14,0,15,30
656865,3151,train,17,5,15,7
1085460,3226,train,36,2,13,4
3097248,3381,train,5,1,8,14
954658,3400,train,13,2,15,18
1152411,3437,train,9,0,16,30
1985245,3444,train,4,5,15,27
603293,3544,train,31,0,8,7
3114672,3694,train,5,1,12,30
664237,3704,train,20,1,15,11
1289338,3707,train,6,1,10,30
1373932,3748,train,8,0,14,30
2805884,3909,train,11,5,15,4
792176,3934,train,9,3,4,30
3099309,4052,train,6,3,16,15
1907811,4083,train,11,6,11,30
2430013,4097,train,7,0,11,30
2956539,4260,train,7,2,17,11
1890287,4326,train,54,5,10,9
2944196,4350,train,10,1,17,13
2174949,4478,train,5,1,12,30
3033935,4571,train,4,5,23,7
297648,4588,train,7,0,10,3
2154941,4602,train,38,5,17,1
1720356,4630,train,6,1,18,17
2675211,4654,train,5,4,14,30
1233389,4688,train,4,0,19,6
285388,4700,train,18,3,14,14
1587869,4764,train,100,6,8,1
1187354,4952,train,5,5,13,7
2043219,4984,train,39,5,10,9
2966280,5061,train,5,2,8,14
2694333,5123,train,9,3,15,23
1057693,5158,train,6,5,1,30
976539,5302,train,6,0,8,21
2254270,5368,train,14,0,19,30
555737,5370,train,15,0,11,11
2356753,5393,train,6,6,19,29
1218677,5399,train,4,4,18,30
380940,5400,train,30,2,14,8
2374506,5405,train,8,3,13,8
2908061,5412,train,14,3,10,2
2062131,5514,train,20,0,8,22
3010719,5525,train,25,1,6,30
1172369,5599,train,53,6,12,7
2973912,5654,train,4,2,14,27
3341511,5669,train,71,6,21,4
1524377,5711,train,6,1,14,30
2023522,5724,train,4,6,18,20
373658,5767,train,4,0,14,15
3418070,5786,train,9,1,17,30
3099234,5872,train,18,2,14,15
1020820,5877,train,19,0,19,30
2171669,5920,train,8,1,15,4
609243,5948,train,25,0,18,2
918183,5954,train,4,0,17,24
1003391,5976,train,10,3,12,30
337549,5990,train,5,1,17,30
2947914,6019,train,18,1,13,14
65712,6210,train,24,0,18,8
3402393,6220,train,6,0,17,5
767238,6273,train,8,1,11,20
2925339,6290,train,50,0,14,7
715754,6395,train,10,6,16,12
555930,6540,train,10,5,12,30
3253438,6555,train,7,6,13,6
3104677,6632,train,5,1,19,8
323728,6704,train,33,0,15,7
1147584,6809,train,4,1,10,30
1273082,6842,train,4,2,13,10
1651642,6956,train,69,0,18,2
1894619,6983,train,9,4,19,30
3136121,7268,train,4,2,9,9
2461484,7293,train,37,3,15,11
1783355,7310,train,40,4,12,16
2049554,7443,train,8,1,14,30
1891387,7464,train,11,3,12,30
1070297,7515,train,7,1,18,8
2112974,7629,train,13,6,11,5
2894944,7678,train,5,6,13,11
2072225,7695,train,30,3,15,13
203202,7715,train,5,6,9,23
918151,7828,train,4,4,7,25
646574,7855,train,86,0,10,4
3402313,7965,train,16,6,8,30
3323129,7992,train,16,1,21,30
1573128,8001,train,23,1,8,6
3238226,8002,train,4,4,11,25
3313562,8010,train,4,5,9,8
1468188,8067,train,5,2,11,30
688936,8171,train,4,2,6,30
210317,8243,train,42,6,17,12
803642,8259,train,5,0,8,30
1198240,8385,train,17,3,5,7
856024,8483,train,6,6,15,30
1053355,8680,train,15,1,10,11
965720,8879,train,6,1,16,26
1436141,9045,train,15,0,10,30
3194880,9159,train,7,1,16,10
1970017,9267,train,4,2,12,30
3180214,9342,train,6,6,16,30
2198831,9417,train,17,0,15,30
2848773,9466,train,11,2,12,8
718344,9563,train,5,0,9,18
3297110,9565,train,5,4,14,30
2207979,9578,train,21,4,9,16
1602140,9644,train,4,6,12,30
1891836,9662,train,5,6,16,8
2033128,9833,train,23,6,13,6
2673461,9866,train,10,1,16,25
2093180,10074,train,30,0,14,14
3188936,10115,train,20,1,7,14
1678287,10283,train,5,0,12,29
3040906,10321,train,5,0,14,7
171269,10381,train,7,1,11,22
2991946,10466,train,16,2,12,14
2725772,10497,train,25,0,19,4
852885,10528,train,20,1,13,6
1275421,10576,train,4,1,17,22
1631632,10598,train,25,0,13,7
708529,10605,train,27,1,13,30
996709,10610,train,5,3,14,30
2725509,10626,train,65,5,16,8
2635431,10633,train,7,5,20,8
930789,10665,train,13,4,18,30
708143,10708,train,22,0,20,5
2171676,10713,train,38,4,10,8
1982547,10734,train,20,5,11,10
2203814,10874,train,4,5,10,3
2407797,10930,train,5,2,13,16
963887,10938,train,8,3,14,29
827320,10941,train,10,0,11,30
1574057,10942,train,8,0,15,0
3141118,10984,train,4,0,9,24
809761,11157,train,31,5,10,19
1977284,11356,train,4,1,9,30
425852,11388,train,7,2,5,15
2976499,11422,train,18,5,21,6
854407,11463,train,11,0,11,24
451312,11476,train,4,0,21,30
2168520,11665,train,30,3,14,11
484525,11737,train,12,6,17,6
1588632,11891,train,17,3,11,30
1005994,11933,train,9,3,17,0
2064654,12070,train,7,4,16,18
110704,12091,train,59,4,11,3
353933,12251,train,14,4,9,16
2193405,12417,train,14,4,10,30
1295707,12458,train,9,6,15,21
1167785,12511,train,12,3,9,4
1536640,12667,train,23,0,20,8
926344,12723,train,5,2,14,6
3094342,12809,train,6,2,13,12
2010013,12902,train,7,1,17,30
827482,12965,train,28,5,11,9
1678154,12997,train,5,1,14,22
2831788,13043,train,9,1,13,20
1202935,13064,train,13,4,16,7
